radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,address
LTE,222,1,11269,128257028,0,9.177017212,45.48545837,1000,1,1,1444778910,1444778910,0,"Via Luigi Nono, 29, 20154 Milano MI, Italy"
LTE,222,1,11269,128257025,0,9.175643921,45.48545837,1000,1,1,1444778910,1444778910,0,"Via Luigi Nono, 1, 20154 Milano MI, Italy"
LTE,222,1,11300,128009218,0,9.135818481,45.50880432,1000,1,1,1430454538,1430454538,0,"Certosa S, 20157 Milano MI, Italy"
LTE,222,1,11270,128202242,0,9.161911011,45.46897888,1000,1,1,1442384494,1442384494,0,"Via Mario Pagano, 50, 20145 Milano MI, Italy"
LTE,222,1,11270,128202241,0,9.157791138,45.46897888,1000,1,1,1442384494,1442384494,0,"Via Giotto, 26, 20145 Milano MI, Italy"
LTE,222,1,11300,128163585,0,9.123458862,45.50468445,1000,1,1,1430454534,1430454534,0,"Via Sapri, 6, 20156 Milano MI, Italy"
LTE,222,1,11300,128220163,0,9.10697937,45.51979065,1000,1,1,1444716122,1444716122,0,"Cardo, 20157 Milano MI, Italy"
LTE,222,1,11300,128049927,0,9.109725952,45.49232483,1000,1,1,1426081430,1426081430,0,"Via Ugo Betti, 55, 20151 Milano MI, Italy"
LTE,222,1,11300,128153349,0,9.109725952,45.51292419,1000,1,1,1436364991,1436364991,0,"Via Triboniano, 220, 20157 Milano MI, Italy"
LTE,222,1,11268,128005122,0,9.179763794,45.46760559,1000,1,1,1435627923,1435627923,0,"Foro Buonaparte, 61, 20121 Milano MI, Italy"
LTE,222,1,11269,128018945,0,9.168777466,45.48271179,1000,1,1,1444721815,1444721815,0,"Via Andrea Mantegna, 2, 20154 Milano MI, Italy"
LTE,222,1,11268,128213517,0,9.157791138,45.48408508,1000,1,1,1435623405,1435623405,0,"Via Leon Battista Alberti, 12, 20149 Milano MI, Italy"
LTE,222,1,11268,128018947,0,9.166030884,45.47584534,1000,1,1,1435311250,1435311250,0,"Via Abbondio Sangiorgio, 21, 20145 Milano MI, Italy"
LTE,222,1,11268,128004866,0,9.145431519,45.47721863,1000,1,1,1433779532,1433779532,0,"Via Monte Rosa, 89, 20149 Milano MI, Italy"
LTE,222,1,11268,128013313,0,9.155044556,45.45387268,1000,1,1,1435221230,1435221230,0,"Piazza Napoli, 11, 20146 Milano MI, Italy"
LTE,222,1,11268,128257028,0,9.175643921,45.48683167,1000,1,1,1435278718,1435278718,0,"Via Luigi Nono, 9, 20154 Milano MI, Italy"
LTE,222,1,11268,128020227,0,9.163284302,45.48683167,1000,1,1,1436293102,1436293102,0,"Via Privata Francesco Koristka, 3, 20154 Milano MI, Italy"
LTE,222,1,11268,128020226,0,9.161911011,45.4813385,1000,1,1,1436026425,1436026425,0,"Domodossola, 20149 Milano MI, Italy"
