#{"t_start": 1583841439.0914595, "env_id": "multi-channel-DCA-v0"}
r,l,t,block_prob,timestamp
9572,15892,11291.070919,0.5159143518518519,2013-11-01 00:50:00
9180,15892,11363.433259,0.5635127314814815,2013-11-01 00:50:00
9440,15892,11434.16031,0.5405092592592593,2013-11-01 00:50:00
8654,15892,11506.256561,0.5535300925925926,2013-11-01 00:50:00
8988,15892,11575.165971,0.5441261574074074,2013-11-01 00:50:00
10164,15892,11648.552324,0.5494791666666666,2013-11-01 00:50:00
9690,15892,11718.436468,0.4937789351851852,2013-11-01 00:50:00
10286,15892,11792.910989,0.5425347222222222,2013-11-01 00:50:00
9928,15892,11864.095982,0.5282118055555556,2013-11-01 00:50:00
9040,15892,11937.347656,0.5700231481481481,2013-11-01 00:50:00
8414,15892,12008.672574,0.5626446759259259,2013-11-01 00:50:00
8572,15892,12081.221077,0.5759548611111112,2013-11-01 00:50:00
6840,15892,12151.353835,0.5669849537037037,2013-11-01 00:50:00
8124,15892,12224.370679,0.5784143518518519,2013-11-01 00:50:00
6568,15892,12293.169994,0.5856481481481481,2013-11-01 00:50:00
8546,15892,12366.814353,0.5319733796296297,2013-11-01 00:50:00
8692,15892,12436.995742,0.5623553240740741,2013-11-01 00:50:00
8284,15892,12509.487314,0.5821759259259259,2013-11-01 00:50:00
6568,15892,12578.584863,0.5791377314814815,2013-11-01 00:50:00
6772,15892,12653.169056,0.5996817129629629,2013-11-01 00:50:00
8696,15892,12722.354026,0.5473090277777778,2013-11-01 00:50:00
8502,15892,12795.733445,0.5452835648148148,2013-11-01 00:50:00
8816,15892,12866.972536,0.5701678240740741,2013-11-01 00:50:00
7760,15892,12940.315114,0.5567129629629629,2013-11-01 00:50:00
9388,15892,13014.23388,0.5264756944444444,2013-11-01 00:50:00
9942,15892,13085.487855,0.5815972222222222,2013-11-01 00:50:00
8686,15892,13160.400906,0.5313946759259259,2013-11-01 00:50:00
8024,15892,13230.52269,0.53125,2013-11-01 00:50:00
7956,15892,13304.311748,0.5502025462962963,2013-11-01 00:50:00
6268,15892,13376.295482,0.5694444444444444,2013-11-01 00:50:00
7450,15892,13450.453201,0.5620659722222222,2013-11-01 00:50:00
7438,15892,13520.147435,0.5704571759259259,2013-11-01 00:50:00
9874,15892,13593.310642,0.5201099537037037,2013-11-01 00:50:00
8426,15892,13666.92847,0.5782696759259259,2013-11-01 00:50:00
8520,15892,13742.257648,0.5439814814814815,2013-11-01 00:50:00
9740,15892,13812.778124,0.5069444444444444,2013-11-01 00:50:00
9836,15892,13886.872452,0.5253182870370371,2013-11-01 00:50:00
9506,15892,13955.613207,0.5425347222222222,2013-11-01 00:50:00
8202,15892,14030.969528,0.5889756944444444,2013-11-01 00:50:00
8898,15892,14102.46498,0.5564236111111112,2013-11-01 00:50:00
6834,15892,14174.537256,0.5980902777777778,2013-11-01 00:50:00
7944,15892,14246.514129,0.5583043981481481,2013-11-01 00:50:00
7944,15892,14320.262639,0.5727719907407407,2013-11-01 00:50:00
7372,15892,14390.536307,0.6012731481481481,2013-11-01 00:50:00
6362,15892,14462.642217,0.5963541666666666,2013-11-01 00:50:00
6840,15892,14532.186256,0.5519386574074074,2013-11-01 00:50:00
7722,15892,14604.552672,0.5746527777777778,2013-11-01 00:50:00
6504,15892,14676.136496,0.6090856481481481,2013-11-01 00:50:00
7610,15892,14749.997466,0.5896990740740741,2013-11-01 00:50:00
6360,15892,14823.673665,0.5720486111111112,2013-11-01 00:50:00
6046,15892,14895.415449,0.6199363425925926,2013-11-01 00:50:00
6298,15892,14968.277245,0.5985243055555556,2013-11-01 00:50:00
7014,15892,15038.316536,0.5846354166666666,2013-11-01 00:50:00
7174,15892,15111.845704,0.5852141203703703,2013-11-01 00:50:00
8194,15892,15179.819501,0.5551215277777778,2013-11-01 00:50:00
5558,15892,15253.554721,0.5930266203703703,2013-11-01 00:50:00
4522,15892,15323.444336,0.6131365740740741,2013-11-01 00:50:00
7012,15892,15398.16148,0.5936053240740741,2013-11-01 00:50:00
5020,15892,15467.123049,0.6199363425925926,2013-11-01 00:50:00
6160,15892,15540.910931,0.5772569444444444,2013-11-01 00:50:00
6060,15892,15611.717727,0.5891203703703703,2013-11-01 00:50:00
5142,15892,15685.218845,0.6306423611111112,2013-11-01 00:50:00
5868,15892,15754.700341,0.6251446759259259,2013-11-01 00:50:00
9016,15892,15828.246845,0.5669849537037037,2013-11-01 00:50:00
7288,15892,15898.821971,0.58984375,2013-11-01 00:50:00
8296,15892,15973.187454,0.5188078703703703,2013-11-01 00:50:00
7758,15892,16044.145046,0.5565682870370371,2013-11-01 00:50:00
5598,15892,16118.428284,0.6417824074074074,2013-11-01 00:50:00
2732,15892,16187.641837,0.6372974537037037,2013-11-01 00:50:00
4732,15892,16262.379759,0.6276041666666666,2013-11-01 00:50:00
6032,15892,16333.023763,0.5894097222222222,2013-11-01 00:50:00
6892,15892,16407.46046,0.5954861111111112,2013-11-01 00:50:00
8676,15892,16478.417199,0.5737847222222222,2013-11-01 00:50:00
7274,15892,16550.595946,0.5730613425925926,2013-11-01 00:50:00
7252,15892,16619.757628,0.5700231481481481,2013-11-01 00:50:00
5868,15892,16694.193849,0.5727719907407407,2013-11-01 00:50:00
5918,15892,16766.27992,0.6333912037037037,2013-11-01 00:50:00
8636,15892,16836.946339,0.5636574074074074,2013-11-01 00:50:00
8374,15892,16909.848595,0.5756655092592593,2013-11-01 00:50:00
5522,15892,16980.51486,0.6255787037037037,2013-11-01 00:50:00
8662,15892,17053.45126,0.5530960648148148,2013-11-01 00:50:00
6308,15892,17123.064245,0.5271990740740741,2013-11-01 00:50:00
8338,15892,17195.528646,0.5674189814814815,2013-11-01 00:50:00
7642,15892,17265.615886,0.5545428240740741,2013-11-01 00:50:00
7984,15892,17340.615818,0.5444155092592593,2013-11-01 00:50:00
8130,15892,17409.917927,0.5960648148148148,2013-11-01 00:50:00
7678,15892,17485.930113,0.5902777777777778,2013-11-01 00:50:00
7738,15892,17556.135832,0.5431134259259259,2013-11-01 00:50:00
6612,15892,17629.939481,0.578125,2013-11-01 00:50:00
6030,15892,17700.878836,0.5604745370370371,2013-11-01 00:50:00
8154,15892,17775.302197,0.5559895833333334,2013-11-01 00:50:00
8240,15892,17847.200112,0.5596064814814815,2013-11-01 00:50:00
6066,15892,17919.062721,0.6458333333333334,2013-11-01 00:50:00
